8-gram, count
coffee cup and you can rest in peace, 4
find the extra coffee cup and you can, 3
the extra coffee cup and you can rest, 3
extra coffee cup and you can rest in, 3
of this project gutenberg ebook the mysterious affair, 2
this project gutenberg ebook the mysterious affair at, 2
project gutenberg ebook the mysterious affair at styles, 2
despatch case with a key in the lock, 2
publicity or scandal between husband and wife will, 2
or scandal between husband and wife will deter, 2
scandal between husband and wife will deter me, 2
me that it would be a good opportunity, 2
that it would be a good opportunity to, 2
and i don t know what to do, 2
start of this project gutenberg ebook the mysterious, 1
the intense interest aroused in the public by, 1
intense interest aroused in the public by what, 1
interest aroused in the public by what was, 1
aroused in the public by what was known, 1
in the public by what was known at, 1
the public by what was known at the, 1
public by what was known at the time, 1
as the styles case has now somewhat subsided, 1
the styles case has now somewhat subsided nevertheless, 1
styles case has now somewhat subsided nevertheless in, 1
case has now somewhat subsided nevertheless in view, 1
has now somewhat subsided nevertheless in view of, 1
the world wide notoriety which attended it i, 1
world wide notoriety which attended it i have, 1
wide notoriety which attended it i have been, 1
notoriety which attended it i have been asked, 1
which attended it i have been asked both, 1
attended it i have been asked both by, 1
my friend poirot and the family themselves to, 1
friend poirot and the family themselves to write, 1
poirot and the family themselves to write an, 1
and the family themselves to write an account, 1
the family themselves to write an account of, 1
family themselves to write an account of the, 1
whole story this we trust will effectually silence, 1
story this we trust will effectually silence the, 1
this we trust will effectually silence the sensational, 1
i will therefore briefly set down the circumstances, 1
will therefore briefly set down the circumstances which, 1
therefore briefly set down the circumstances which led, 1
briefly set down the circumstances which led to, 1
set down the circumstances which led to my, 1
i had been invalided home from the front, 1
had been invalided home from the front and, 1
been invalided home from the front and after, 1
invalided home from the front and after spending, 1
home from the front and after spending some, 1
months in a rather depressing convalescent home was, 1
in a rather depressing convalescent home was given, 1
a rather depressing convalescent home was given a, 1
rather depressing convalescent home was given a month, 1
depressing convalescent home was given a month s, 1
sick leave having no near relations or friends, 1
leave having no near relations or friends i, 1
having no near relations or friends i was, 1
no near relations or friends i was trying, 1
near relations or friends i was trying to, 1
relations or friends i was trying to make, 1
up my mind what to do when i, 1
my mind what to do when i ran, 1
mind what to do when i ran across, 1
what to do when i ran across john, 1
to do when i ran across john cavendish, 1
do when i ran across john cavendish i, 1
when i ran across john cavendish i had, 1
i ran across john cavendish i had seen, 1
ran across john cavendish i had seen very, 1
little of him for some years indeed i, 1
of him for some years indeed i had, 1
him for some years indeed i had never, 1
for some years indeed i had never known, 1
some years indeed i had never known him, 1
years indeed i had never known him particularly, 1
well he was a good fifteen years my, 1
he was a good fifteen years my senior, 1
was a good fifteen years my senior for, 1
a good fifteen years my senior for one, 1
good fifteen years my senior for one thing, 1
fifteen years my senior for one thing though, 1
years my senior for one thing though he, 1
hardly looked his forty five years as a, 1
looked his forty five years as a boy, 1
his forty five years as a boy though, 1
forty five years as a boy though i, 1
five years as a boy though i had, 1
years as a boy though i had often, 1
as a boy though i had often stayed, 1
at styles his mother s place in essex, 1
we had a good yarn about old times, 1
had a good yarn about old times and, 1
a good yarn about old times and it, 1
good yarn about old times and it ended, 1
yarn about old times and it ended in, 1
about old times and it ended in his, 1
old times and it ended in his inviting, 1
times and it ended in his inviting me, 1
and it ended in his inviting me down, 1
the mater will be delighted to see you, 1
mater will be delighted to see you again, 1
will be delighted to see you again after, 1
be delighted to see you again after all, 1
delighted to see you again after all those, 1
to see you again after all those years, 1
oh yes i suppose you know that she, 1
yes i suppose you know that she has, 1
i suppose you know that she has married, 1
suppose you know that she has married again, 1
i am afraid i showed my surprise rather, 1
am afraid i showed my surprise rather plainly, 1
afraid i showed my surprise rather plainly mrs, 1
i showed my surprise rather plainly mrs cavendish, 1
showed my surprise rather plainly mrs cavendish who, 1
my surprise rather plainly mrs cavendish who had, 1
married john s father when he was a, 1
john s father when he was a widower, 1
s father when he was a widower with, 1
father when he was a widower with two, 1
when he was a widower with two sons, 1
he was a widower with two sons had, 1
was a widower with two sons had been, 1
a widower with two sons had been a, 1
handsome woman of middle age as i remembered, 1
woman of middle age as i remembered her, 1
of middle age as i remembered her she, 1
middle age as i remembered her she certainly, 1
age as i remembered her she certainly could, 1
not be a day less than seventy now, 1
be a day less than seventy now i, 1
a day less than seventy now i recalled, 1
day less than seventy now i recalled her, 1
less than seventy now i recalled her as, 1
than seventy now i recalled her as an, 1
seventy now i recalled her as an energetic, 1
autocratic personality somewhat inclined to charitable and social, 1
notoriety with a fondness for opening bazaars and, 1
with a fondness for opening bazaars and playing, 1
a fondness for opening bazaars and playing the, 1
fondness for opening bazaars and playing the lady, 1
bountiful she was a most generous woman and, 1
she was a most generous woman and possessed, 1
was a most generous woman and possessed a, 1
a most generous woman and possessed a considerable, 1
their country place styles court had been purchased, 1
country place styles court had been purchased by, 1
place styles court had been purchased by mr, 1
styles court had been purchased by mr cavendish, 1
early in their married life he had been, 1
in their married life he had been completely, 1
their married life he had been completely under, 1
married life he had been completely under his, 1
life he had been completely under his wife, 1
he had been completely under his wife s, 1
ascendancy so much so that on dying he, 1
so much so that on dying he left, 1
much so that on dying he left the, 1
so that on dying he left the place, 1
that on dying he left the place to, 1
on dying he left the place to her, 1
dying he left the place to her for, 1
he left the place to her for her, 1
lifetime as well as the larger part of, 1
as well as the larger part of his, 1
well as the larger part of his income, 1
as the larger part of his income an, 1
the larger part of his income an arrangement, 1
larger part of his income an arrangement that, 1
was distinctly unfair to his two sons their, 1
distinctly unfair to his two sons their step, 1
unfair to his two sons their step mother, 1
to his two sons their step mother however, 1
