4-gram, count
flute snout and starveling, 4
lies down and sleeps, 4
to your father s, 3
midsummer night s dream, 2
scene i athens the, 2
i athens the palace, 2
athens the palace of, 2
the palace of theseus, 2
enter theseus hippolyta philostrate, 2
and my gracious duke, 2
not by what power, 2
your father s will, 2
for aught that i, 2
and in the wood, 2
your tongue s sweet, 2
scene ii athens quince, 2
ii athens quince s, 2
athens quince s house, 2
enter quince snug bottom, 2
quince snug bottom flute, 2
snug bottom flute snout, 2
bottom flute snout and, 2
flute the bellows mender, 2
you the lion s, 2
the lion s part, 2
let him roar again, 2
every mother s son, 2
i will roar you, 2
and i am to, 2
are not you he, 2
and for her sake, 2
me and i will, 2
titania with her train, 2
i love thee not, 2
i am sick when, 2
am sick when i, 2
how can it be, 2
scene ii another part, 2
ii another part of, 2
another part of the, 2
part of the wood, 2
is t not enough, 2
written in eight and, 2
you or i would, 2
wall and let him, 2
as true as truest, 2
true as truest horse, 2
as truest horse that, 2
truest horse that yet, 2
horse that yet would, 2
at ninny s tomb, 2
re enter puck and, 2
and i will sing, 2
peaseblossom cobweb moth and, 2
cobweb moth and mustardseed, 2
i shall desire you, 2
shall desire you of, 2
desire you of more, 2
more acquaintance good master, 2
him to my bower, 2
you give her o, 2
give her o er, 2
are you grown so, 2
how low am i, 2
lead them up and, 2
them up and down, 2
thou coward art thou, 2
the break of day, 2
lysander demetrius helena and, 2
demetrius helena and hermia, 2
as thou wast wont, 2
thou wast wont to, 2
theseus hippolyta egeus and, 2
hippolyta egeus and train, 2
i have had a, 2
of man hath not, 2
my lord it is, 2
his prologue like a, 2
that ever i heard, 2
o wall o sweet, 2
this lanthorn doth the, 2
lanthorn doth the horned, 2
doth the horned moon, 2
the horned moon present, 2
man i the moon, 2
die die die die, 2
a midsummer night s, 1
shakespeare homepage midsummer night, 1
homepage midsummer night s, 1
night s dream entire, 1
s dream entire play, 1
theseus hippolyta philostrate and, 1
hippolyta philostrate and attendants, 1
now fair hippolyta our, 1
fair hippolyta our nuptial, 1
hippolyta our nuptial hour, 1
draws on apace four, 1
on apace four happy, 1
apace four happy days, 1
four happy days bring, 1
happy days bring in, 1
another moon but o, 1
moon but o methinks, 1
but o methinks how, 1
o methinks how slow, 1
this old moon wanes, 1
old moon wanes she, 1
moon wanes she lingers, 1
wanes she lingers my, 1
she lingers my desires, 1
like to a step, 1
to a step dame, 1
a step dame or, 1
step dame or a, 1
dame or a dowager, 1
long withering out a, 1
withering out a young, 1
out a young man, 1
a young man revenue, 1
four days will quickly, 1
days will quickly steep, 1
will quickly steep themselves, 1
quickly steep themselves in, 1
steep themselves in night, 1
four nights will quickly, 1
nights will quickly dream, 1
will quickly dream away, 1
quickly dream away the, 1
dream away the time, 1
and then the moon, 1
then the moon like, 1
the moon like to, 1
moon like to a, 1
like to a silver, 1
to a silver bow, 1
new bent in heaven, 1
bent in heaven shall, 1
in heaven shall behold, 1
heaven shall behold the, 1
shall behold the night, 1
stir up the athenian, 1
up the athenian youth, 1
the athenian youth to, 1
athenian youth to merriments, 1
awake the pert and, 1
the pert and nimble, 1
pert and nimble spirit, 1
and nimble spirit of, 1
nimble spirit of mirth, 1
turn melancholy forth to, 1
melancholy forth to funerals, 1
the pale companion is, 1
pale companion is not, 1
companion is not for, 1
is not for our, 1
not for our pomp, 1
hippolyta i woo d, 1
i woo d thee, 1
woo d thee with, 1
d thee with my, 1
thee with my sword, 1
and won thy love, 1
won thy love doing, 1
thy love doing thee, 1
love doing thee injuries, 1
but i will wed, 1
i will wed thee, 1
will wed thee in, 1
wed thee in another, 1
thee in another key, 1
with pomp with triumph, 1
pomp with triumph and, 1
with triumph and with, 1
triumph and with revelling, 1
enter egeus hermia lysander, 1
egeus hermia lysander and, 1
hermia lysander and demetrius, 1
happy be theseus our, 1
be theseus our renowned, 1
theseus our renowned duke, 1
thanks good egeus what, 1
good egeus what s, 1
egeus what s the, 1
what s the news, 1
s the news with, 1
the news with thee, 1
full of vexation come, 1
of vexation come i, 1
vexation come i with, 1
come i with complaint, 1
against my child my, 1
my child my daughter, 1
child my daughter hermia, 1
stand forth demetrius my, 1
forth demetrius my noble, 1
demetrius my noble lord, 1
this man hath my, 1
man hath my consent, 1
hath my consent to, 1
my consent to marry, 1
consent to marry her, 1
stand forth lysander and, 1
forth lysander and my, 1
lysander and my gracious, 1
this man hath bewitch, 1
man hath bewitch d, 1
hath bewitch d the, 1
bewitch d the bosom, 1
d the bosom of, 1
the bosom of my, 1
bosom of my child, 1
thou thou lysander thou, 1
thou lysander thou hast, 1
lysander thou hast given, 1
thou hast given her, 1
hast given her rhymes, 1
and interchanged love tokens, 1
interchanged love tokens with, 1
love tokens with my, 1
tokens with my child, 1
thou hast by moonlight, 1
hast by moonlight at, 1
by moonlight at her, 1
moonlight at her window, 1
at her window sung, 1
with feigning voice verses, 1
feigning voice verses of, 1
voice verses of feigning, 1
verses of feigning love, 1
and stolen the impression, 1
stolen the impression of, 1
the impression of her, 1
impression of her fantasy, 1
with bracelets of thy, 1
bracelets of thy hair, 1
of thy hair rings, 1
thy hair rings gawds, 1
hair rings gawds conceits, 1
knacks trifles nosegays sweetmeats, 1
trifles nosegays sweetmeats messengers, 1
of strong prevailment in, 1
strong prevailment in unharden, 1
prevailment in unharden d, 1
in unharden d youth, 1
with cunning hast thou, 1
cunning hast thou filch, 1
hast thou filch d, 1
thou filch d my, 1
filch d my daughter, 1
d my daughter s, 1
my daughter s heart, 1
turn d her obedience, 1
d her obedience which, 1
her obedience which is, 1
obedience which is due, 1
which is due to, 1
is due to me, 1
to stubborn harshness and, 1
stubborn harshness and my, 1
harshness and my gracious, 1
be it so she, 1
it so she will, 1
so she will not, 1
she will not here, 1
will not here before, 1
not here before your, 1
here before your grace, 1
consent to marry with, 1
to marry with demetrius, 1
i beg the ancient, 1
beg the ancient privilege, 1
the ancient privilege of, 1
ancient privilege of athens, 1
as she is mine, 1
she is mine i, 1
is mine i may, 1
mine i may dispose, 1
i may dispose of, 1
may dispose of her, 1
which shall be either, 1
shall be either to, 1
be either to this, 1
either to this gentleman, 1
or to her death, 1
to her death according, 1
her death according to, 1
death according to our, 1
according to our law, 1
immediately provided in that, 1
provided in that case, 1
what say you hermia, 1
say you hermia be, 1
you hermia be advised, 1
hermia be advised fair, 1
be advised fair maid, 1
to you your father, 1
you your father should, 1
your father should be, 1
father should be as, 1
should be as a, 1
be as a god, 1
one that composed your, 1
that composed your beauties, 1
composed your beauties yea, 1
your beauties yea and, 1
beauties yea and one, 1
to whom you are, 1
whom you are but, 1
you are but as, 1
are but as a, 1
but as a form, 1
as a form in, 1
a form in wax, 1
by him imprinted and, 1
him imprinted and within, 1
imprinted and within his, 1
and within his power, 1
to leave the figure, 1
leave the figure or, 1
the figure or disfigure, 1
figure or disfigure it, 1
demetrius is a worthy, 1
is a worthy gentleman, 1
in himself he is, 1
but in this kind, 1
in this kind wanting, 1
this kind wanting your, 1
kind wanting your father, 1
wanting your father s, 1
your father s voice, 1
the other must be, 1
other must be held, 1
must be held the, 1
be held the worthier, 1
i would my father, 1
would my father look, 1
my father look d, 1
father look d but, 1
look d but with, 1
d but with my, 1
but with my eyes, 1
rather your eyes must, 1
your eyes must with, 1
eyes must with his, 1
must with his judgment, 1
with his judgment look, 1
i do entreat your, 1
do entreat your grace, 1
entreat your grace to, 1
your grace to pardon, 1
grace to pardon me, 1
i know not by, 1
know not by what, 1
by what power i, 1
what power i am, 1
power i am made, 1
i am made bold, 1
nor how it may, 1
how it may concern, 1
it may concern my, 1
may concern my modesty, 1
in such a presence, 1
such a presence here, 1
a presence here to, 1
presence here to plead, 1
here to plead my, 1
to plead my thoughts, 1
but i beseech your, 1
i beseech your grace, 1
beseech your grace that, 1
your grace that i, 1
grace that i may, 1
that i may know, 1
the worst that may, 1
worst that may befall, 1
that may befall me, 1
may befall me in, 1
befall me in this, 1
me in this case, 1
if i refuse to, 1
i refuse to wed, 1
refuse to wed demetrius, 1
either to die the, 1
to die the death, 1
die the death or, 1
the death or to, 1
death or to abjure, 1
for ever the society, 1
ever the society of, 1
the society of men, 1
therefore fair hermia question, 1
fair hermia question your, 1
hermia question your desires, 1
know of your youth, 1
of your youth examine, 1
your youth examine well, 1
youth examine well your, 1
examine well your blood, 1
whether if you yield, 1
if you yield not, 1
you yield not to, 1
yield not to your, 1
not to your father, 1
your father s choice, 1
you can endure the, 1
can endure the livery, 1
endure the livery of, 1
the livery of a, 1
livery of a nun, 1
for aye to be, 1
aye to be in, 1
to be in shady, 1
be in shady cloister, 1
in shady cloister mew, 1
shady cloister mew d, 1
to live a barren, 1
live a barren sister, 1
a barren sister all, 1
barren sister all your, 1
sister all your life, 1
chanting faint hymns to, 1
faint hymns to the, 1
hymns to the cold, 1
to the cold fruitless, 1
the cold fruitless moon, 1
thrice blessed they that, 1
blessed they that master, 1
they that master so, 1
that master so their, 1
master so their blood, 1
to undergo such maiden, 1
undergo such maiden pilgrimage, 1
but earthlier happy is, 1
earthlier happy is the, 1
happy is the rose, 1
is the rose distill, 1
the rose distill d, 1
than that which withering, 1
that which withering on, 1
which withering on the, 1
withering on the virgin, 1
on the virgin thorn, 1
grows lives and dies, 1
lives and dies in, 1
and dies in single, 1
dies in single blessedness, 1
so will i grow, 1
will i grow so, 1
i grow so live, 1
grow so live so, 1
so live so die, 1
live so die my, 1
so die my lord, 1
ere i will my, 1
i will my virgin, 1
will my virgin patent, 1
my virgin patent up, 1
unto his lordship whose, 1
his lordship whose unwished, 1
lordship whose unwished yoke, 1
my soul consents not, 1
soul consents not to, 1
consents not to give, 1
not to give sovereignty, 1
take time to pause, 1
time to pause and, 1
to pause and by, 1
pause and by the, 1
and by the next, 1
by the next new, 1
the next new moon, 1
the sealing day betwixt, 1
sealing day betwixt my, 1
day betwixt my love, 1
betwixt my love and, 1
my love and me, 1
for everlasting bond of, 1
everlasting bond of fellowship, 1
upon that day either, 1
that day either prepare, 1
day either prepare to, 1
either prepare to die, 1
for disobedience to your, 1
disobedience to your father, 1
or else to wed, 1
else to wed demetrius, 1
to wed demetrius as, 1
wed demetrius as he, 1
demetrius as he would, 1
or on diana s, 1
on diana s altar, 1
diana s altar to, 1
s altar to protest, 1
for aye austerity and, 1
aye austerity and single, 1
austerity and single life, 1
relent sweet hermia and, 1
sweet hermia and lysander, 1
hermia and lysander yield, 1
thy crazed title to, 1
crazed title to my, 1
title to my certain, 1
to my certain right, 1
you have her father, 1
have her father s, 1
her father s love, 1
father s love demetrius, 1
